,nombre,nacionalidad,duracion,carreras_inscritas,carreras_empezadas,pilotos_totales,total_inscripciones,victorias,puntos_totales,cantidad_poles,vueltas_rapidas,podios,titulos_constructores,titulos_pilotos
92,Osella,Italy,1980–1990,172,132,17,253,0,5,0,0,0,0,0
93,Pacific,United Kingdom,1994–1995,33,22,5,66,0,0,0,0,0,0,0
94,Parnelli,United States,1974–1976,16,16,1,16,0,6,0,1,0,0,0
95,Penske,United States,1974–1977,41,40,7,46,1,23,0,0,3,0,0
96,Porsche,Germany,1957–1964,36,33,13,75,1,46,1,0,5,0,0
97,Prost,France,1997–2001,83,83,9,166,0,35,0,0,3,0,0
98,RAM,United Kingdom,1983–1985,44,31,8,73,0,0,0,0,0,0,0
99,Racing Point Force India,United Kingdom,2018,9,9,2,18,0,52,0,0,0,0,0
100,Racing Point,United Kingdom,2019–2020,38,38,3,76,1,268,1,0,4,0,0
101,RE,Rhodesia,1965,1,0,1,1,0,0,0,0,0,0,0
102,Renault,"France,United Kingdom","1977–1985,2002–2011,2016–2020",403,400,26,788,35,1777,51,33,103,2,2
103,Rebaque,Mexico,1979,3,1,1,3,0,0,0,0,0,0,0
104,Rial,Germany,1988–1989,32,21,6,48,0,6,0,0,0,0,0
105,Scarab,United States,1960,5,2,4,10,0,0,0,0,0,0,0
106,Scirocco,United Kingdom,1963–1964,7,5,3,9,0,0,0,0,0,0,0
107,Shadow,"United States,United Kingdom",1973–1980,112,103,21,240,1,67.5,3,2,7,0,0
108,Shannon,United Kingdom,1966,1,1,1,1,0,0,0,0,0,0,0
109,Simca-Gordini,France,1950–1953,15,14,11,29,0,,0,0,0,,0
110,Simtek,United Kingdom,1994–1995,21,21,7,40,0,0,0,0,0,0,0
111,Spirit,United Kingdom,1983–1985,25,23,3,25,0,0,0,0,0,0,0
112,Spyker,Netherlands,2007,17,17,4,34,0,1,0,0,0,0,0
113,Stebro,Canada,1963,1,1,1,1,0,0,0,0,0,0,0
114,Stewart,United Kingdom,1997–1999,49,49,4,98,1,47,1,0,5,0,0
115,Super Aguri,Japan,2006–2008,39,39,5,39,0,4,0,0,0,0,0
116,Surtees,United Kingdom,1970–1978,119,118,38,260,0,53,0,3,2,0,0
117,SVA,Italy,1950,1,0,1,1,0,,0,0,0,,0
118,Talbot-Lago,France,1950–1951,13,13,18,81,0,,0,0,2,,0
119,Tec-Mec,United States,1959,1,1,1,1,0,0,0,0,0,0,0
120,Tecno,Italy,1972–1973,12,10,3,14,0,1,0,0,0,0,0
121,Theodore,Hong Kong,"1978,1981–1983",51,34,10,64,0,2,0,0,0,0,0
122,Token,United Kingdom,1974,4,3,3,4,0,0,0,0,0,0,0
123,Toleman,United Kingdom,1981–1985,70,53,9,131,0,26,1,2,3,0,0
124,Toro Rosso,Italy,2006–2019,268,268,14,536,1,500,1,1,3,0,0
125,Toyota,Japan,2002–2009,140,139,9,276,0,278.5,3,3,13,0,0
126,Trojan,United Kingdom,1974,8,6,1,8,0,0,0,0,0,0,0
127,Tyrrell,United Kingdom,1970–1998,433,430,47,884,23,617,14,20,77,1,2
128,Vanwall,United Kingdom,1954–1960,29,28,12,66,9,48,7,6,13,1,0
129,Venturi,France,1992,16,16,2,32,0,1,0,0,0,0,0
130,Veritas,Germany,1951–1953,6,6,15,18,0,,0,0,0,,0
131,Virgin,"United Kingdom,Russia",2010–2011,38,38,3,76,0,0,0,0,0,0,0
132,Wolf(Walter Wolf Racing),Canada,1977–1979,48,47,4,54,3,79,1,2,13,0,0
133,Zakspeed,Germany,1985–1989,74,54,7,136,0,2,0,0,0,0,0
